right_hip_roll,right_hip_pitch,right_knee,left_hip_roll,left_hip_pitch,left_knee,torso,left_hip_yaw,right_hip_yaw,left_ankle,right_ankle,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow
0.231570,-0.110754,0.452313,-0.222247,-0.079186,0.510658,0.004648,-0.003916,0.105083,-0.869800,-0.860995,0.000410,0.001131,1.308051,1.569074,0.000421,0.000000,-1.307658,1.569316
0.231312,-0.111119,0.452877,-0.222025,-0.079608,0.511148,0.004618,-0.003912,0.104978,-0.869440,-0.860623,0.000821,0.001171,1.306741,1.567443,0.000810,0.000000,-1.306288,1.567715
0.231029,-0.111534,0.453410,-0.221828,-0.080029,0.511637,0.004614,-0.003908,0.104873,-0.869060,-0.860314,0.001252,0.001233,1.305341,1.565751,0.001210,-0.000021,-1.304587,1.565872
0.230721,-0.111949,0.453974,-0.221580,-0.080450,0.512127,0.004583,-0.003879,0.104742,-0.868710,-0.859952,0.001663,0.001232,1.303851,1.563879,0.001610,-0.000021,-1.302977,1.563759
0.230490,-0.112364,0.454522,-0.221383,-0.080897,0.512617,0.004604,-0.003900,0.104637,-0.868351,-0.859601,0.002063,0.001241,1.302090,1.561797,0.002031,-0.000010,-1.301156,1.561436
0.230131,-0.112779,0.455118,-0.221211,-0.081343,0.513107,0.004549,-0.003896,0.104532,-0.867949,-0.859219,0.002473,0.001219,1.300421,1.559445,0.002421,-0.000010,-1.299127,1.558873
0.229823,-0.113219,0.455698,-0.221014,-0.081815,0.513613,0.004570,-0.003892,0.104401,-0.867579,-0.858868,0.002894,0.001228,1.298481,1.556222,0.002821,-0.000010,-1.297218,1.556584
0.229516,-0.113634,0.456246,-0.220842,-0.082287,0.514118,0.004565,-0.003863,0.104296,-0.867209,-0.858486,0.003283,0.001237,1.296302,1.552763,0.003262,0.000000,-1.295041,1.554085
0.229132,-0.114074,0.456826,-0.220670,-0.082734,0.514608,0.004586,-0.003885,0.104191,-0.866839,-0.858135,0.003725,0.001246,1.293855,1.548767,0.003735,0.000000,-1.292985,1.550868
0.228699,-0.114540,0.457437,-0.220448,-0.083180,0.515114,0.004556,-0.003881,0.104086,-0.866468,-0.857763,0.004197,0.001224,1.291381,1.544717,0.004249,0.000021,-1.290901,1.547115
0.228367,-0.115005,0.458001,-0.220200,-0.083702,0.515603,0.004577,-0.003902,0.103956,-0.866088,-0.857391,0.004607,0.001223,1.288489,1.540401,0.004721,0.000021,-1.288579,1.543216
0.228009,-0.115495,0.458612,-0.219927,-0.084199,0.516109,0.004547,-0.003873,0.103825,-0.865718,-0.857040,0.005028,0.001222,1.285302,1.536391,0.005214,0.000041,-1.285810,1.538904
0.227602,-0.115985,0.459207,-0.219729,-0.084771,0.516615,0.004567,-0.003894,0.103720,-0.865348,-0.856669,0.005459,0.001221,1.281670,1.530891,0.005769,0.000238,-1.283164,1.534268
0.227296,-0.116576,0.459818,-0.219456,-0.085343,0.517104,0.004563,-0.003915,0.103615,-0.864957,-0.856307,0.005920,0.001230,1.277714,1.525429,0.006416,0.000827,-1.280043,1.530415
0.227015,-0.117166,0.460413,-0.219183,-0.085965,0.517641,0.004608,-0.003937,0.103485,-0.864576,-0.855925,0.006341,0.001239,1.273287,1.519916,0.007218,0.001889,-1.276717,1.526030
0.226734,-0.117832,0.461008,-0.218936,-0.086637,0.518162,0.004629,-0.003958,0.103355,-0.864206,-0.855554,0.006751,0.001217,1.267734,1.513963,0.007978,0.003207,-1.273186,1.521590
0.226428,-0.118597,0.461619,-0.218688,-0.087333,0.518699,0.004649,-0.003929,0.103224,-0.863846,-0.855203,0.007161,0.001205,1.262904,1.508288,0.008943,0.004646,-1.268797,1.516889
0.226148,-0.119437,0.462198,-0.218440,-0.088105,0.519220,0.004645,-0.003925,0.103094,-0.863466,-0.854810,0.007560,0.001225,1.256921,1.500896,0.010205,0.006144,-1.264920,1.512135
0.225842,-0.120376,0.462840,-0.218168,-0.089001,0.519726,0.004615,-0.003896,0.102989,-0.863075,-0.854439,0.008011,0.001224,1.251097,1.492893,0.011528,0.007536,-1.260305,1.507625
